Date,head
2002-05-01,374.76
2002-05-02,374.75
2002-05-03,374.74
2002-05-04,374.72
2002-05-05,374.71
2002-05-06,374.71
2002-05-07,374.72
2002-05-08,374.72
2002-05-09,374.71
2002-05-10,374.7
2002-05-11,374.69
2002-05-12,374.74
2002-05-13,374.75
2002-05-14,374.77
2002-05-15,374.8
2002-05-16,374.83
2002-05-17,374.84
2002-05-18,374.81
2002-05-19,374.83
2002-05-20,374.88
2002-05-21,374.9
2002-05-22,374.9
2002-05-23,374.88
2002-05-24,374.87
2002-05-25,374.89
2002-05-26,374.91
2002-05-27,374.91
2002-05-28,374.89
2002-05-29,374.88
2002-05-30,374.88
2002-05-31,374.88
2002-06-01,374.87
2002-06-02,374.84
2002-06-03,374.82
2002-06-04,374.78
2002-06-05,374.76
2002-06-06,374.77
2002-06-07,374.8
2002-06-08,374.83
2002-06-09,374.84
2002-06-10,374.84
2002-06-11,374.82
2002-06-12,374.79
2002-06-13,374.76
2002-06-14,374.74
2002-06-15,374.72
2002-06-16,374.7
2002-06-17,374.68
2002-06-18,374.66
2002-06-19,374.65
2002-06-20,374.64
2002-06-21,374.63
2002-06-22,374.62
2002-06-23,374.61
2002-06-24,374.65
2002-06-25,374.72
2002-06-26,374.75
2002-06-27,374.74
2002-06-28,374.7
2002-06-29,374.67
2002-06-30,374.65
2002-07-01,374.63
2002-07-02,374.61
2002-07-03,374.61
2002-07-04,374.6
2002-07-05,374.6
2002-07-06,374.59
2002-07-07,374.59
2002-07-08,374.58
2002-07-09,374.57
2002-07-10,374.57
2002-07-11,374.56
2002-07-12,374.56
2002-07-13,374.56
2002-07-14,374.56
2002-07-15,374.56
2002-07-16,374.56
2002-07-17,374.58
2002-07-18,374.61
2002-07-19,374.68
2002-07-20,374.75
2002-07-21,374.78
2002-07-22,374.79
2002-07-23,374.76
2002-07-24,374.72
2002-07-25,374.69
2002-07-26,374.66
2002-07-27,374.63
2002-07-28,374.62
2002-07-29,374.6
2002-07-30,374.59
2002-07-31,374.58
2002-08-01,374.57
2002-08-02,374.57
2002-08-03,374.58
2002-08-04,374.58
2002-08-05,374.59
2002-08-06,374.6
2002-08-07,374.62
2002-08-08,374.62
2002-08-09,374.61
2002-08-10,374.61
2002-08-11,374.64
2002-08-12,374.71
2002-08-13,374.76
2002-08-14,374.78
2002-08-15,374.78
2002-08-16,374.76
2002-08-17,374.73
2002-08-18,374.71
2002-08-19,374.69
2002-08-20,374.67
2002-08-21,374.65
2002-08-22,374.65
2002-08-23,374.68
2002-08-24,374.69
2002-08-25,374.66
2002-08-26,374.64
2002-08-27,374.63
2002-08-28,374.63
2002-08-29,374.63
2002-08-30,374.63
2002-08-31,374.63
2002-09-01,374.71
2002-09-02,374.75
2002-09-03,374.75
2002-09-04,374.72
2002-09-05,374.7
2002-09-06,374.69
2002-09-07,374.69
2002-09-08,374.67
2002-09-09,374.66
2002-09-10,374.67
2002-09-11,374.73
2002-09-12,374.75
2002-09-13,374.75
2002-09-14,374.74
2002-09-15,374.73
2002-09-16,374.71
2002-09-17,374.7
2002-09-18,374.69
2002-09-19,374.68
2002-09-20,374.67
2002-09-21,374.67
2002-09-22,374.67
2002-09-23,374.67
2002-09-24,374.7
2002-09-25,374.83
2002-09-26,374.96
2002-09-27,375.03
2002-09-28,375.07
2002-09-29,375.11
2002-09-30,375.1
2002-10-01,375.06
2002-10-02,375.02
2002-10-03,374.98
2002-10-04,374.94
2002-10-05,374.92
2002-10-06,374.94
2002-10-07,375.09
2002-10-08,375.18
2002-10-09,375.19
2002-10-10,375.18
2002-10-11,375.14
2002-10-12,375.1
2002-10-13,375.05
2002-10-14,375.01
2002-10-15,374.97
2002-10-16,374.95
2002-10-17,375.02
2002-10-18,375.19
2002-10-19,375.28
2002-10-20,375.3
2002-10-21,375.3
2002-10-22,375.29
2002-10-23,375.27
2002-10-24,375.25
2002-10-25,375.28
2002-10-26,375.36
2002-10-27,375.37
2002-10-28,375.36
2002-10-29,375.37
2002-10-30,375.36
2002-10-31,375.38
2002-11-01,375.41
2002-11-02,375.44
2002-11-03,375.54
2002-11-04,375.68
2002-11-05,375.8
2002-11-06,375.87
2002-11-07,375.91
2002-11-08,375.96
2002-11-09,375.99
2002-11-10,375.97
2002-11-11,376.01
2002-11-12,376.05
2002-11-13,376.11
2002-11-14,376.09
2002-11-15,376.07
2002-11-16,376.07
2002-11-17,376.03
2002-11-18,375.96
2002-11-19,375.93
2002-11-20,375.9
2002-11-21,375.88
2002-11-22,375.86
2002-11-23,375.86
2002-11-24,375.83
2002-11-25,375.77
2002-11-26,375.7
2002-11-27,375.7
2002-11-28,375.68
2002-11-29,375.68
2002-11-30,375.72
2002-12-01,375.73
2002-12-02,375.74
2002-12-03,375.77
2002-12-04,375.78
2002-12-05,375.78
2002-12-06,375.77
2002-12-07,375.72
2002-12-08,375.66
2002-12-09,375.59
2002-12-10,375.52
2002-12-11,375.46
2002-12-12,375.43
2002-12-13,375.37
2002-12-14,375.29
2002-12-15,375.24
2002-12-16,375.18
2002-12-17,375.16
2002-12-18,375.16
2002-12-19,375.16
2002-12-20,375.15
2002-12-21,375.14
2002-12-22,375.19
2002-12-23,375.42
2002-12-24,375.5
2002-12-25,375.47
2002-12-26,375.49
2002-12-27,375.54
2002-12-28,375.57
2002-12-29,375.59
2002-12-30,375.64
2002-12-31,375.6
2003-01-01,375.57
2003-01-02,375.62
2003-01-03,375.75
2003-01-04,375.92
2003-01-05,376.02
2003-01-06,376.08
2003-01-07,376.1
2003-01-08,376.08
2003-01-09,375.97
2003-01-10,375.83
2003-01-11,375.7
2003-01-12,375.61
2003-01-13,375.54
2003-01-14,375.45
2003-01-15,375.41
2003-01-16,375.38
2003-01-17,375.37
2003-01-18,375.36
2003-01-19,375.36
2003-01-20,375.36
2003-01-21,375.38
2003-01-22,375.37
2003-01-23,375.35
2003-01-24,375.37
2003-01-25,375.39
2003-01-26,375.4
2003-01-27,375.41
2003-01-28,375.52
2003-01-29,375.59
2003-01-30,375.54
2003-01-31,375.5
2003-02-01,375.48
2003-02-02,375.45
2003-02-03,375.43
2003-02-04,375.47
2003-02-05,375.45
2003-02-06,375.42
2003-02-07,375.4
2003-02-08,375.39
2003-02-09,375.41
2003-02-10,375.4
2003-02-11,375.36
2003-02-12,375.31
2003-02-13,375.27
2003-02-14,375.22
2003-02-15,375.17
2003-02-16,375.12
