time,rr,tg,tn,tx,pp,hu,fg,qq
1990-01-01,0.0,-4.47,-5.31,-3.86,1022.4,92.15,1.03,30.0
1990-01-02,0.0,-2.74,-5.45,-0.42999998,1023.5,91.375,0.98999995,33.0
1990-01-03,0.0,-1.05,-3.52,-0.29,1024.4,86.18,2.09,15.0
1990-01-04,0.0,-3.0,-4.11,-0.78999996,1027.9,88.585,2.22,30.0
1990-01-05,1.4,-1.4599999,-3.5,-0.87,1027.8,92.46001,1.56,14.0
1990-01-06,0.0,-1.87,-2.6699998,-0.57,1030.7001,92.125,1.89,17.0
1990-01-07,0.0,-6.1,-8.349999,-2.85,1035.8,92.97895,1.52,26.0
1990-01-08,0.0,-5.68,-6.56,-4.91,1039.2001,93.00556,1.18,37.0
1990-01-09,0.0,-3.9099998,-6.3199997,-2.29,1039.9,92.590004,0.97999996,31.0
1990-01-10,0.0,-3.9099998,-5.21,-0.74,1036.3,90.335,0.83,34.0
1990-01-11,0.0,-3.09,-6.6499996,-1.91,1035.8,94.28334,1.0799999,29.0
1990-01-12,0.0,-7.24,-9.66,-3.04,1034.7001,88.945,0.94,42.0
1990-01-13,0.0,-5.47,-11.2,-2.12,1032.4,88.515,0.87,58.0
1990-01-14,0.0,-4.9,-8.559999,-1.64,1029.3,88.325005,1.3299999,47.0
1990-01-15,0.0,-2.8999999,-7.2999997,-1.03,1030.6,91.295006,1.87,43.0
1990-01-16,0.0,3.8799999,-2.21,5.23,1028.4,89.68,3.1799998,26.0
1990-01-17,3.3,3.73,2.98,4.71,1024.8,94.65834,2.74,23.0
1990-01-18,0.0,-0.48999998,-2.6299999,4.37,1027.9,87.340004,1.66,49.0
1990-01-19,0.0,-0.59999996,-3.21,3.27,1031.3,85.885,2.1299999,52.0
1990-01-20,0.90000004,1.5699999,-1.9399999,2.58,1031.5,85.16,3.23,20.0
1990-01-21,0.0,2.44,-0.32,7.2,1035.0,93.49334,2.34,30.0
1990-01-22,0.0,1.52,-2.9099998,6.25,1034.4,93.71765,1.7099999,54.0
1990-01-23,4.8,-0.72999996,-2.09,1.35,1025.6,91.93158,1.91,54.0
1990-01-24,2.7,5.13,-1.42,7.75,1011.7,76.455,4.81,43.0
1990-01-25,4.5,7.77,-0.65999997,11.42,1006.0,78.380005,5.02,22.0
1990-01-26,0.0,4.7,1.0,11.679999,1004.8,59.255,6.5699997,66.0
1990-01-27,0.0,2.77,-0.82,9.0199995,1011.7,69.14,4.2599998,63.0
1990-01-28,0.0,4.24,-1.68,8.86,1005.9,76.105,3.84,39.0
1990-01-29,0.0,1.43,-0.65999997,5.13,1012.5,88.075005,2.4099998,64.0
1990-01-30,0.0,2.02,-1.8299999,5.87,1011.60004,89.590004,2.47,40.0
1990-01-31,0.0,1.18,-3.02,7.47,1011.4,85.375,2.83,71.0
1990-02-01,0.0,1.89,-1.54,7.2799997,1013.7,88.175,1.12,45.0
1990-02-02,3.6000001,2.3,-1.37,6.1,1015.9,92.455,2.6599998,42.0
1990-02-03,0.0,6.33,-2.19,9.9,1018.0,73.66,4.29,77.0
1990-02-04,0.0,2.12,-1.06,10.54,1030.8,73.91,4.0,96.0
1990-02-05,0.0,0.65999997,-4.44,10.26,1030.8,76.165,1.4699999,98.0
1990-02-06,0.0,-0.52,-6.1099997,8.07,1022.0,78.865005,1.18,92.0
1990-02-07,0.0,2.6699998,-4.27,11.11,1021.5,79.545,2.4099998,92.0
1990-02-08,0.0,8.19,0.65,14.95,1018.60004,63.645,5.33,49.0
1990-02-09,0.0,1.8399999,-0.22,7.04,1030.4,74.765,3.07,76.0
1990-02-10,11.8,1.88,-5.19,6.29,1019.8,75.245,2.54,74.0
1990-02-11,2.4,2.0,-0.64,5.43,1007.8,82.925,4.54,52.0
1990-02-12,3.7,0.98999995,-1.7199999,4.29,994.0,89.515,4.21,46.0
1990-02-13,15.2,1.12,-0.78999996,3.12,998.60004,86.87,3.7099998,58.0
1990-02-14,25.9,4.18,0.22,7.3599997,991.9,76.53,6.89,40.0
1990-02-15,20.2,2.55,-0.08,4.0299997,994.5,76.75,5.0899997,46.0
1990-02-16,0.0,0.96,0.16,4.16,1011.10004,71.735,3.57,68.0
1990-02-17,0.7,2.23,-3.6599998,6.6299996,1019.0,80.5,2.09,87.0
1990-02-18,0.0,5.85,2.0,13.23,1017.8,82.54,1.51,92.0
1990-02-19,0.0,5.15,1.8299999,9.349999,1021.7,86.61,1.38,60.0
1990-02-20,0.0,6.37,-0.01,16.449999,1028.6,79.855,1.35,126.0
1990-02-21,0.0,6.2999997,-0.45,15.4,1030.7001,84.255005,1.36,119.0
1990-02-22,0.0,6.45,2.05,15.559999,1040.5,79.895004,1.62,122.0
1990-02-23,0.0,3.28,-0.93,5.74,1036.7001,92.285,1.4499999,111.0
1990-02-24,0.0,6.6499996,1.56,15.2,1029.8,81.965004,1.23,126.0
1990-02-25,0.0,8.98,0.02,17.66,1017.10004,66.935,2.56,115.0
1990-02-26,7.9,7.6099997,4.3199997,12.7699995,1002.5,67.385,8.25,51.0
1990-02-27,26.5,2.8,0.84,6.12,993.4,82.54,7.8399997,57.0
1990-02-28,19.6,4.96,1.4499999,6.3199997,1002.60004,80.255005,7.58,62.0
1990-03-01,1.2,2.3999999,-0.17,7.68,1003.3,63.725002,9.08,103.0
1990-03-02,1.9,0.07,-0.5,1.67,1020.9,84.43,4.45,90.0
1990-03-03,1.0,0.74,-1.8,1.5699999,1040.0,83.795,4.2799997,75.0
1990-03-04,0.0,2.36,-1.9,5.16,1041.9,75.185,3.6699998,111.0
