time,rr,tg,tn,tx,pp,hu,fg,qq,et
1990-01-01,0.0,-0.08,-1.9699999,2.0,1018.4,78.075005,2.1599998,,0.0
1990-01-02,0.0,-7.45,-10.79,-1.26,1024.2001,86.075005,0.72999996,,0.0
1990-01-03,0.0,-14.15,-15.75,-10.9,1023.2,88.063156,0.87,,0.0
1990-01-04,2.1000001,-12.929999,-19.93,-6.18,1013.0,90.53,2.96,,0.0
1990-01-05,2.9,-0.59,-6.81,2.79,1007.5,92.700005,1.67,,0.0
1990-01-06,0.0,-0.31,-1.74,2.6699998,1010.2,91.833336,1.24,,0.0
1990-01-07,0.7,-3.1799998,-7.2999997,-0.42999998,1003.10004,83.065,1.87,,0.0
1990-01-08,2.7,-2.87,-5.77,1.27,999.0,83.3,1.3399999,,0.0
1990-01-09,4.1,-5.2599998,-8.05,-0.91999996,995.7,85.41,1.48,,0.0
1990-01-10,1.4,-11.639999,-13.37,-6.1299996,1000.60004,80.495,3.79,,0.0
1990-01-11,2.2,-17.33,-18.57,-12.91,1009.7,67.195,5.06,,0.0
1990-01-12,1.1,-16.24,-18.71,-12.13,1018.60004,61.785,2.6799998,,0.0
1990-01-13,0.0,-12.98,-14.95,-10.19,1011.9,70.765,2.1699998,,0.0
1990-01-14,0.5,-15.79,-17.39,-13.809999,1007.2,71.14,2.58,,0.0
1990-01-15,1.3000001,-12.0199995,-15.75,-8.88,990.8,72.005005,4.39,,0.0
1990-01-16,1.0,-13.559999,-15.42,-9.69,990.7,65.245,3.77,,0.0
1990-01-17,0.0,-19.449999,-22.65,-15.46,989.60004,77.01,2.1299999,,0.0
1990-01-18,0.7,-21.779999,-24.82,-19.289999,991.9,84.795,1.7199999,,0.0
1990-01-19,0.0,-20.43,-23.58,-17.6,999.4,81.625,1.7099999,,0.0
1990-01-20,0.0,-13.83,-23.08,-6.5699997,994.9,63.66,2.33,2.0,0.009152492
1990-01-21,0.0,-17.69,-20.55,-14.099999,1008.7,82.745,1.31,2.0,0.0071304375
1990-01-22,1.1,-14.599999,-19.01,-8.98,1010.3,72.1,1.52,3.0,0.0129530225
1990-01-23,0.0,-12.21,-15.509999,-9.74,1001.10004,80.105,1.12,3.0,0.0150038665
1990-01-24,0.0,-13.309999,-17.16,-11.58,984.8,71.83,2.6599998,2.0,0.009511599
1990-01-25,0.0,-13.849999,-15.849999,-11.389999,982.4,73.04,3.53,2.0,0.009233794
1990-01-26,0.0,-14.44,-17.41,-11.73,987.0,78.835,1.43,2.0,0.008883361
1990-01-27,0.0,-11.36,-18.06,-9.51,988.8,91.38667,1.16,2.0,0.010590553
1990-01-28,0.0,-5.47,-9.69,-3.08,997.2,88.621056,2.6699998,5.0,0.03557124
1990-01-29,0.0,-10.19,-14.599999,-5.68,1002.4,84.535,2.27,4.0,0.022346247
1990-01-30,1.3000001,-10.5199995,-13.09,-6.47,1006.8,74.58,2.24,3.0,0.016409025
1990-01-31,0.0,-8.67,-12.83,-3.77,1001.10004,71.695,2.79,2.0,0.012117301
1990-02-01,0.0,-0.47,-5.2799997,1.29,991.3,74.82,3.36,8.0,0.071009845
1990-02-02,0.0,-6.35,-9.929999,2.83,996.5,79.585,2.3,2.0,0.013650835
1990-02-03,0.0,-0.32,-10.84,2.96,988.9,68.925,3.6,1.5,0.013413845
1990-02-04,0.0,-0.13,-4.39,2.51,993.60004,75.53,3.22,1.0,0.008984609
1990-02-05,2.7,-1.5999999,-7.5899997,0.48999998,984.10004,75.275,2.03,4.0,0.034059968
1990-02-06,2.6000001,3.33,-0.14,5.23,982.8,74.805,2.9199998,1.0,0.01028352
1990-02-07,3.3,0.31,-0.96,4.27,976.9,86.625,3.07,2.0,0.01846665
1990-02-08,1.1,0.44,-1.56,4.16,965.2,85.815,4.17,16.0,0.14952837
1990-02-09,0.0,-3.4399998,-5.8399997,0.0,984.5,93.100006,3.51,6.0,0.047217034
1990-02-10,0.0,-14.389999,-17.699999,-5.7599998,984.9,86.235,2.6299999,4.0,0.017850162
